traces_per_group,max_abs_t
10,712.7857321804358
20,732.5206729593706
30,897.1175251964474
40,1052.2805335881117
50,1131.2410564663269
60,1163.656648396454
70,1262.3078330245885
80,1288.795869424707
90,1351.3086231198517
100,1455.613807662708
110,1517.6727940484857
120,1575.3413486571087
130,1626.503199308555
140,1642.9083918678386
150,1714.8880478480835
160,1785.0074605433126
170,1851.9857484037907
180,1918.464104499924
190,1961.7047153933227
200,2030.0747169828753
210,2044.4201056466559
220,2075.751816113696
230,2115.694905033169
240,2141.283461457735
250,2194.5245650177712
260,2232.4655528033322
270,2281.5471072888013
280,2309.812386489493
290,2334.3602113408974
300,2344.191197304066
310,2366.9518141883295
320,2377.851444470829
330,2402.4810568788425
340,2438.962480787761
350,2452.1933329615067
360,2477.810395718709
370,2514.637871148955
380,2543.4852707197683
390,2569.018533975302
400,2582.5880384731754
410,2615.7724351362212
420,2641.6315537083997
430,2665.271724977449
440,2674.944637225916
450,2687.674407791702
460,2700.1585140757356
470,2731.8161131815755
480,2766.2794579597885
490,2786.7215481395524
500,2812.512602541315
510,2839.128828811763
520,2867.715535732839
530,2898.2305388465734
540,2924.348912285907
550,2956.330412700941
560,2976.7481997420814
570,2971.8622600264525
580,3004.805134066276
590,3009.7308164014344
600,3025.059475711307
610,3042.1938210432168
620,3056.650053263094
630,3078.093482816819
640,3085.823383381877
650,3099.695179381684
660,3118.974135214971
670,3112.988258749321
680,3123.7039433688806
690,3134.25901814334
700,3152.318139401319
710,3166.7748433169577
720,3172.8207742980853
730,3189.344075695905
740,3190.344845380649
750,3201.8045787856686
760,3209.946444462093
770,3219.840091580442
780,3225.719536483091
790,3228.5476306161395
800,3254.436661956078
810,3274.057952489229
820,3277.9256315861658
830,3294.8258173929903
840,3310.802977771639
850,3306.3688558844087
860,3307.9375995455725
870,3320.335001432149
880,3335.985436963706
890,3345.966154850308
900,3355.3074811329075
910,3370.6554966822205
920,3395.534706690902
930,3412.215592995531
940,3416.8163302010407
950,3410.326025248804
960,3426.6038725761077
970,3428.679550431891
980,3441.283584716865
990,3453.3250609206816
1000,3458.518051178914
