"traces_per_group","max_abs_t"
10,430.467290466081
13,391.747462291082
16,387.602577994956
18,409.712749329028
21,450.66214834532
24,470.825971390636
27,513.032229856432
30,513.65715370546
32,538.594011482869
35,565.89903226369
38,596.138327064368
41,616.163696119861
43,634.453806563917
46,646.950824445492
49,679.81617944851
52,717.71722217961
55,675.44050097988
57,694.936626364069
60,707.534603314156
63,711.881555827214
66,725.52182628452
69,742.016005382744
71,723.28133879
74,738.208498886024
77,752.139879344644
80,776.397662344175
82,735.608008023402
85,738.740271843927
88,745.194438560915
91,761.320971056759
94,780.585822207085
96,788.260027921745
99,798.568345074072
102,813.968206985038
105,822.579485742861
108,833.984530011454
110,845.80756136411
113,859.821363260632
116,862.204690443295
119,882.020107368938
122,894.752431574906
124,908.231328190055
127,925.05712436736
130,943.746210056955
133,950.823291922255
135,961.264333011116
138,975.417737859264
141,991.314127604412
144,1000.61389558251
147,1005.4828060269
149,1012.49571882136
152,1026.73504307276
155,1045.4874464827
158,1058.69211521251
161,1069.20830303285
163,1077.72290986191
166,1096.79216408438
169,1106.17625259541
172,1117.21905362165
174,1125.31266469819
177,1137.07728805622
180,1147.99111561896
183,1156.93155281238
186,1171.28740350733
188,1182.38946251314
191,1195.01113553105
194,1207.18138948473
197,1211.8457578398
200,1226.05143074056
202,1235.23358592532
205,1249.27785967752
208,1259.38755732083
211,1262.16970704706
214,1272.39621857382
216,1278.86654892656
219,1290.82879555801
222,1298.67810881266
225,1309.30077404855
227,1315.98516842963
230,1319.9766774717
233,1321.65557144046
236,1333.60187742906
239,1345.6477350502
241,1352.86015933099
244,1362.15883275521
247,1373.76597565963
250,1384.57176643398
253,1393.6480549978
255,1388.60932907077
258,1398.35180251722
261,1407.39983986237
264,1418.91245058988
266,1427.74288495687
269,1433.82209371795
272,1441.22180674878
275,1447.23878384755
278,1456.69653691626
280,1465.00034863595
283,1475.51200416565
286,1474.6834731635
